Rank,Player,AVG PICK,7 DAY +/-,AVG SALARY,7 DAY +/-,%ROST
323,C.J. HamMinRB,170.0,0.0,0.0,0.0,0.1
324,Zach DavidsonMinTE,170.0,0.0,0.0,0.0,0.0
325,Gunner OlszewskiNEWR,170.0,0.0,0.0,0.0,0.1
326,Taylor RussolinoFAK,170.0,0.0,0.0,0.0,0.0
327,Josh GordonSSPDFAWR,170.0,0.0,0.0,0.0,0.1
328,Chandler CoxFARB,170.0,0.0,0.0,0.0,0.0
329,Rodney AdamsChiWR,170.0,0.0,0.0,0.0,0.1
330,Jason WittenLVTE,170.0,0.0,0.0,0.0,0.0
331,Tre NixonNEWR,170.0,0.0,0.0,0.0,0.0
332,Jalen CampHouWR,170.0,0.0,0.0,0.0,0.0
333,Lil'Jordan HumphreyNOWR,170.0,0.0,0.0,0.0,0.1
334,Patrick RicardBalRB,170.0,0.0,0.0,0.0,0.0
335,Ben MasonNERB,170.0,0.0,0.0,0.0,0.0
336,Khalil HerbertChiRB,170.0,0.0,0.0,0.0,0.3
337,Jeff BadetQFAWR,170.0,0.0,0.0,0.0,0.0
338,Ihmir Smith-MarsetteMinWR,170.0,0.0,0.0,0.0,0.1
339,Tommy SweeneyBufTE,170.0,0.0,0.0,0.0,0.0
340,Trent SherfieldSFWR,170.0,0.0,0.0,0.0,0.2
341,Devonta FreemanFARB,170.0,0.0,0.0,0.0,0.1
342,Chad BeebeIRMinWR,170.0,0.0,0.0,0.0,0.1
343,Blake BortlesGBQB,170.0,0.0,0.0,0.0,0.0
344,Austin SeibertDetK,170.0,0.0,0.0,0.0,0.2
345,Brycen HopkinsLARTE,170.0,0.0,0.0,0.0,0.1
346,Chad HenneKCQB,170.0,0.0,0.0,0.0,0.1
347,Aldrick RosasFAK,170.0,0.0,0.0,0.0,0.2
348,Cedrick WilsonDalWR,170.0,0.0,0.0,0.0,0.1
349,Sage SurrattDetWR,170.0,0.0,0.0,0.0,0.0
350,J.J. Arcega-WhitesidePhiWR,170.0,0.0,0.0,0.0,0.1
351,Javian HawkinsFARB,170.0,0.1,0.0,0.0,0.3
352,Harrison BryantCleTE,170.0,0.0,0.0,0.0,0.2
353,Nick BoyleQBalTE,170.0,0.0,0.0,0.0,0.1
354,Tyler JohnsonTBWR,170.0,0.0,0.0,0.0,0.2
355,Matthew McCraneCleK,170.0,0.0,0.0,0.0,0.0
356,Garrett DickersonFATE,170.0,0.0,0.0,0.0,0.0
357,John RossIRNYGWR,170.0,0.0,0.0,0.0,0.1
358,Freddie SwainSeaWR,170.0,0.0,0.0,0.0,0.1
359,Thaddeus MossCinTE,170.0,0.0,0.0,0.0,0.1
360,Anthony ShermanKCRB,170.0,0.0,0.0,0.0,0.0
361,Dez FitzpatrickTenWR,170.0,0.0,0.0,0.0,0.1
362,Geno SmithSeaQB,170.0,0.0,0.0,0.0,0.1
363,Ian ThomasCarTE,170.0,0.0,0.0,0.0,0.1
364,Albert WilsonMiaWR,170.0,0.0,0.0,0.0,0.2
365,Mo Alie-CoxIndTE,170.0,0.0,0.0,0.0,0.4
366,Mike NugentFAK,170.0,0.0,0.0,0.0,0.0
367,Cornell PowellKCWR,170.0,0.0,0.0,0.0,0.1
368,Devin AsiasiNETE,170.0,0.0,0.0,0.0,0.1
369,LeSean McCoyFARB,170.0,0.0,0.0,0.0,0.0
370,Cooper RushDalQB,170.0,0.0,0.0,0.0,0.0
371,John LovettQFARB,170.0,0.0,0.0,0.0,0.0
372,Jesse JamesChiTE,170.0,0.0,0.0,0.0,0.0
373,Ray-Ray McCloudPitWR,170.0,0.0,0.0,0.0,0.1
374,Sergio CastilloFAK,170.0,0.0,0.0,0.0,0.0
375,Danny AmendolaFAWR,170.0,0.0,0.0,0.0,0.0
376,James Proche IIBalWR,170.0,0.0,0.0,0.0,0.1
377,Dazz NewsomeChiWR,170.0,0.0,0.0,0.0,0.1
378,Simi FehokoDalWR,170.0,0.0,0.0,0.0,0.1
379,Noah BrownODalWR,170.0,0.0,0.0,0.0,0.1
380,Chester RogersTenWR,170.0,0.0,0.0,0.0,0.0
381,Colt McCoyAriQB,170.0,0.0,0.0,0.0,0.0
382,Demetric FeltonCleRB,170.0,0.0,0.0,0.0,0.1
383,Godwin IgwebuikeDetRB,170.0,0.0,0.0,0.0,0.0
384,Kyle TraskTBQB,170.0,0.0,0.0,0.0,0.2
385,Kyle AllenWshQB,170.0,0.0,0.0,0.0,0.0
386,Kawaan BakerNOWR,170.0,0.0,0.0,0.0,0.0
387,Brandon AllenCinQB,170.0,0.0,0.0,0.0,0.1
388,Josh AdamsFARB,170.0,0.0,0.0,0.0,0.0
389,Malik TaylorGBWR,170.0,0.0,0.0,0.0,0.0
390,Khari BlasingameTenRB,170.0,0.0,0.0,0.0,0.0
391,Andy JanovichCleRB,170.0,0.0,0.0,0.0,0.0
